INSTNM,CITY,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NPT41_PROG,NPT42_PROG,NPT43_PROG,NPT44_PROG,NPT45_PROG,NPT41_OTHER,NPT42_OTHER,NPT43_OTHER,NPT44_OTHER,NPT45_OTHER,NPT4_048_PUB,NPT4_048_PRIV,NPT4_048_PROG,NPT4_048_OTHER,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,NPT4_3075_PROG,NPT4_3075_OTHER,NPT4_75UP_PROG,NPT4_75UP_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,FEMALE,FIRST_GEN,FAMINC,MD_FAMINC
University of Colorado Colorado Springs,Colorado Springs,0.8477,525.0,565.0,490.0,650.0,,,,,,21.0,28.0,20.0,28.0,18.0,26.0,,,,,,,1180.0,1180.0,0.0,0.0,0.0,0.001,0.0771,0.0,0.0522,0.0,0.0617,0.0607,0.0,0.003,0.0,0.0,0.0343,0.0,0.0,0.1114,0.0104,0.0,0.0035,0.0,0.0129,0.0,0.0095,0.0,0.0846,0.0672,0.0169,0.0741,0.0,0.0,0.0,0.0,0.0219,0.1234,0.1567,0.0174,0.5711,0.0449,0.1953,0.0385,0.0041,0.0031,0.0735,0.009,0.0605,,,,16772.0,,,,14128.0,12915.0,15796.0,19196.0,20861.0,,,,,,,,,,,,,,,,13729.0,,,,14499.0,,20330.0,,,,,,23180.0,,9129.0,22041.0,,0.5588865096,0.3134053805,60795.732548,42591
Spartan College of Aeronautics and Technology,Broomfield,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,0.0423,0.1831,0.0528,0.007,0.0106,0.0352,0.0,0.331,,,,,25190.0,,,,,,,,25734.0,21556.0,22492.0,,,,,,,,,,,,,,25287.0,,,,21790.0,,,,,,,30182.0,,16576.0,16576.0,,0.0586510264,0.4262820513,34802.055718,25866
University of Colorado Boulder,Boulder,0.8073,590.0,690.0,570.0,700.0,,,640.0,640.0,,26.0,32.0,24.0,33.0,24.0,30.0,,,28.0,29.0,27.0,,1301.0,1301.0,0.0,0.03,0.0222,0.0055,0.1073,0.0,0.073,0.0,0.009,0.1317,0.0087,0.0102,0.0,0.0,0.0115,0.0027,0.0,0.1173,0.0217,0.0,0.0182,0.0,0.0077,0.0,0.0315,0.0,0.073,0.0,0.001,0.1098,0.0,0.0,0.0,0.0,0.0279,0.0092,0.1606,0.0103,0.6831,0.0175,0.1304,0.0619,0.0016,0.0009,0.0653,0.0322,0.0071,,,,20971.0,,,,12070.0,11443.0,16250.0,24879.0,29839.0,,,,,,,,,,,,,,,,11834.0,,,,14223.0,,28422.0,,,,,,32351.0,,13106.0,40356.0,,0.4815162907,0.2035731847,98821.99765,70221
Colorado Christian University,Lakewood,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.038,0.0,0.0218,0.0,0.0759,0.0038,0.0,0.0,0.0,0.0,0.0066,0.0427,0.0,0.0095,0.0,0.0,0.0114,0.0057,0.0019,0.1347,0.0,0.0,0.1954,0.0218,0.0,0.0085,0.0,0.0,0.0,0.0,0.0104,0.1803,0.2258,0.0057,0.604,0.1493,0.155,0.0139,0.0081,0.0043,0.0415,0.0002,0.0237,,,,,22405.0,,,,,,,,17691.0,20834.0,20685.0,21648.0,25908.0,,,,,,,,,,,,19074.0,,,,20751.0,,24657.0,,,,,48130.0,,37432.0,37432.0,,0.7275913871,0.4485098849,43279.956935,29376
Colorado College,Colorado Springs,0.163,640.0,730.0,620.0,750.0,,,,,,29.0,33.0,30.0,35.0,26.0,32.0,,,,,,,1402.0,1402.0,0.0,0.0823,0.0,0.0321,0.0,0.0,0.0402,0.0,0.0201,0.0,0.0,0.006,0.0,0.0,0.0402,0.0241,0.0,0.1767,0.0221,0.0,0.0643,0.0,0.012,0.0,0.0602,0.0,0.0562,0.0,0.0,0.2811,0.0,0.0,0.0,0.0,0.0462,0.0,0.0,0.0361,0.6688,0.0299,0.1099,0.0455,0.0032,0.0018,0.0695,0.0607,0.0106,,,,,28892.0,,,,,,,,10762.0,9664.0,13311.0,30471.0,47237.0,,,,,,,,,,,,10275.0,,,,11544.0,,43911.0,,,,,79229.0,,65028.0,65028.0,,0.6200607903,0.1757188498,107642.09119,74864
Concorde Career College-Aurora,Aurora,0.9934,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2394,0.1341,0.3625,0.0616,0.0123,0.0082,0.0342,0.0,0.1477,,,,,17594.0,,,,,,,,16643.0,17304.0,18787.0,21599.0,21892.0,,,,,,,,,,,,16836.0,,,,17902.0,,21746.0,,,,,,21955.0,,,16434.0,0.8542510121,0.5262853842,31488.2843,21907
Colorado Mountain College,Glenwood Springs,,,,,,,,,,,,,,,,,,,,,,,,,0.0075,0.0038,0.0,0.0,0.0045,0.0,0.0369,0.015,0.0632,0.0,0.0309,0.0,0.0,0.0166,0.0,0.237,0.0,0.0,0.0,0.0,0.0271,0.0,0.0,0.0,0.0,0.0,0.0,0.0745,0.0,0.0,0.0,0.0587,0.0083,0.0,0.009,0.2746,0.1324,0.0,0.6024,0.0115,0.3165,0.0122,0.0044,0.0007,0.0318,0.0,0.0204,,,,7531.0,,,,4370.0,5247.0,7421.0,9486.0,13170.0,,,,,,,,,,,,,,,,4604.0,,,,6716.0,,11607.0,,,,,,13610.0,,2580.0,11820.0,,0.5096296296,0.374796748,48628.180741,30750
Colorado Northwestern Community College,Rangely,,,,,,,,,,,,,,,,,,,,,,,,,0.0353,0.1804,0.0,0.0,0.0,0.0,0.0,0.0157,0.0314,0.0,0.0,0.0,0.0,0.0,0.0,0.2667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0,0.0627,0.0,0.3333,0.0078,0.0,0.6513,0.0283,0.1982,0.0142,0.0212,0.0053,0.046,0.0177,0.0177,,,,10991.0,,,,8566.0,10640.0,6021.0,15712.0,15927.0,,,,,,,,,,,,,,,,9226.0,,,,8330.0,,15898.0,,,,,,20106.0,,4236.0,6740.0,,0.6428571429,0.4589371981,50541.855042,35548.5
Colorado School of Mines,Golden,0.58,650.0,728.0,680.0,760.0,560.0,650.0,685.0,705.0,605.0,30.0,33.0,29.0,35.0,28.0,34.0,8.0,9.0,31.0,31.0,31.0,9.0,1403.0,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1695,0.0,0.0,0.7794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0336,0.0,0.0,0.0,0.0,0.0,0.0092,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6948,0.0115,0.1235,0.0578,0.0048,0.0005,0.0586,0.0277,0.0208,,,,27978.0,,,,18396.0,17041.0,23739.0,28947.0,32645.0,,,,,,,,,,,,,,,,17813.0,,,,21072.0,,31723.0,,,,,,37114.0,,20040.0,42120.0,,0.2837489252,0.1544642857,107141.61651,95766
Colorado School of Trades,Lakewood,0.7778,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8231,0.0154,0.0615,0.0231,0.0,0.0077,0.0,0.0,0.0692,,,,,22519.0,,,,,,,,22519.0,,,,,,,,,,,,,,,,22519.0,,,,,,,,,,,,26400.0,,,25200.0,PS,0.3161290323,33207.853801,22376
